Token,Language,Anglicism,POS,NE,Lemma
27,NUM,no,NUM,O,27
/,PUNCT,no,PUNCT,O,/
01,NUM,no,NUM,O,01
/,PUNCT,no,PUNCT,O,/
13,NUM,no,NUM,O,13
Tomemos,Spn,no,PROPN,B,Tomemos
un,Spn,no,DET,O,uno
país,Spn,no,NOUN,O,país
cualquiera,Spn,no,PRON,O,cualquiera
",",PUNCT,no,PUNCT,O,","
uno,Spn,no,PRON,O,unir
del,Spn,no,ADP,O,del
montón,Spn,no,NOUN,O,montón
.,PUNCT,no,PUNCT,O,.
Por,Spn,no,ADP,B,Por
ejemplo,Spn,no,NOUN,I,ejemplo
",",PUNCT,no,PUNCT,O,","
Estados,Spn,no,PROPN,B,Estados
Unidos,Spn,no,PROPN,I,Unidos
.,PUNCT,no,PUNCT,O,.
Allá,Spn,no,ADV,B,Allá
hay,Spn,no,AUX,O,haber
dos,Spn,no,NUM,O,do
partidos,Spn,no,NOUN,O,partir
políticos,Spn,no,ADJ,O,político
:,PUNCT,no,PUNCT,O,:
Republicanos,Spn,no,ADJ,B,Republicanos
y,Spn,no,CONJ,I,y
Demócratas,Spn,no,PROPN,I,Demócratas
.,PUNCT,no,PUNCT,O,.
Cada,Spn,no,DET,O,Cada
tanto,Spn,no,ADV,O,tanto
hacen,Spn,no,VERB,O,hacer
una,Spn,no,DET,O,uno
interna,Spn,no,ADJ,O,interno
entre,Spn,no,ADP,O,entrar
4,NUM,no,NUM,O,4
o,Spn,no,CONJ,O,o
5,NUM,no,NUM,O,5
ñatos,Spn,no,NOUN,O,ñato
de,Spn,no,ADP,O,de
cada,Spn,no,DET,O,cada
lado,Spn,no,NOUN,O,lado
",",PUNCT,no,PUNCT,O,","
cada,Spn,no,DET,O,cada
bando,Spn,no,NOUN,O,bando
elige,Spn,no,VERB,O,elegir
uno,Spn,no,PRON,O,unir
(,PUNCT,no,PUNCT,O,(
habitualmente,Spn,no,ADV,O,habitualmente
al,Spn,no,ADP,O,al
más,Spn,no,ADV,O,más
canchero,Spn,no,NOUN,O,canchero
),PUNCT,no,PUNCT,O,)
y,Spn,no,CONJ,O,y
juegan,Spn,no,VERB,O,jugar
la,Spn,no,DET,O,lo
final,Spn,no,NOUN,O,final
.,PUNCT,no,PUNCT,O,.
Gana,Spn,no,VERB,B,Gana
uno,Spn,no,PRON,O,unir
",",PUNCT,no,PUNCT,O,","
pierde,Spn,no,VERB,O,perder
el,Spn,no,DET,O,el
otro,Spn,no,PRON,O,otro
y,Spn,no,CONJ,O,y
al,Spn,no,ADP,O,al
día,Spn,no,NOUN,O,día
siguiente,Spn,no,ADJ,O,siguiente
todo,Spn,no,DET,O,todo
el,Spn,no,DET,O,el
mundo,Spn,no,NOUN,O,mundo
a,Spn,no,ADP,O,a
laburar,Spn,no,VERB,O,laburar
como,Spn,no,SCONJ,O,comer
si,Spn,no,SCONJ,O,si
nada,Spn,no,PRON,O,nadar
.,PUNCT,no,PUNCT,O,.
Veamos,Spn,no,VERB,B,Veamos
otro,Spn,no,DET,O,otro
país,Spn,no,NOUN,O,país
al,Spn,no,ADP,O,al
voleo,Spn,no,NOUN,O,volear
:,PUNCT,no,PUNCT,O,:
Uruguay,Spn,no,PROPN,B,Uruguay
.,PUNCT,no,PUNCT,O,.
Ahí,Spn,no,ADV,B,Ahí
la,Spn,no,DET,O,lo
única,Spn,no,ADJ,O,único
diferencia,Spn,no,NOUN,O,diferenciar
es,Spn,no,AUX,O,ser
que,Spn,no,SCONJ,O,que
en,Spn,no,ADP,O,en
lugar,Spn,no,NOUN,O,lugar
de,Spn,no,ADP,O,de
2,NUM,no,NUM,O,2
partidos,Spn,no,NOUN,O,partir
hay,Spn,no,AUX,O,haber
3,NUM,no,NUM,O,3
:,PUNCT,no,PUNCT,O,:
Colorados,Spn,no,PROPN,B,Colorados
",",PUNCT,no,PUNCT,O,","
Blancos,Spn,no,PROPN,B,Blancos
y,Spn,no,CONJ,O,y
el,Spn,no,DET,O,el
Frente,Spn,no,PROPN,B,Frente
Amplio,Spn,no,PROPN,I,Amplio
.,PUNCT,no,PUNCT,I,.
Siempre,Spn,no,ADV,O,Siempre
gana,Spn,no,VERB,O,ganar
alguno,Spn,no,PRON,O,alguno
de,Spn,no,ADP,O,de
los,Spn,no,DET,O,lo
3,NUM,no,NUM,O,3
.,PUNCT,no,PUNCT,O,.
No,Spn,no,ADV,B,No
hay,Spn,no,AUX,I,haber
sorpresas,Spn,no,NOUN,I,sorpresa
.,PUNCT,no,PUNCT,O,.
Un,Spn,no,DET,B,Un
embole,Spn,no,NOUN,I,embolar
.,PUNCT,no,PUNCT,I,.
En,Spn,no,ADP,O,En
cambio,Spn,no,NOUN,O,cambiar
acá,Spn,no,ADV,O,acá
la,Spn,no,DET,O,lo
cosa,Spn,no,NOUN,O,coser
es,Spn,no,AUX,O,ser
bien,Spn,no,ADV,O,bien
diferente,Spn,no,ADJ,O,diferente
.,PUNCT,no,PUNCT,O,.
Acá,Spn,no,ADV,B,Acá
es,Spn,no,AUX,O,ser
una,Spn,no,DET,O,uno
fiesta,Spn,no,NOUN,O,fiesta
.,PUNCT,no,PUNCT,O,.
En,Spn,no,ADP,O,En
tiempos,Spn,no,NOUN,O,tiempo
electorales,Spn,no,ADJ,O,electoral
",",PUNCT,no,PUNCT,O,","
como,Spn,no,SCONJ,O,comer
los,Spn,no,DET,O,lo
que,Spn,no,PRON,O,que
se,Spn,no,PRON,O,se
vienen,Spn,no,VERB,O,venir
ahora,Spn,no,ADV,O,ahora
",",PUNCT,no,PUNCT,O,","
todo,Spn,no,PRON,O,todo
es,Spn,no,AUX,O,ser
mucho,Spn,no,ADV,O,mucho
más,Spn,no,ADV,O,más
confuso,Spn,no,ADJ,O,confuso
",",PUNCT,no,PUNCT,O,","
mezclado,Spn,no,ADJ,O,mezclar
y,Spn,no,CONJ,O,y
cualquiera,Spn,no,PRON,O,cualquiera
le,Spn,no,PRON,O,le
puede,Spn,no,AUX,O,poder
ganar,Spn,no,VERB,O,ganar
a,Spn,no,ADP,O,a
cualquiera,Spn,no,PRON,O,cualquiera
.,PUNCT,no,PUNCT,O,.
En,Spn,no,ADP,O,En
la,Spn,no,DET,O,lo
última,Spn,no,ADJ,O,último
elección,Spn,no,NOUN,O,elección
legislativa,Spn,no,ADJ,O,legislativo
un,Spn,no,DET,O,uno
tal,Spn,no,NOUN,O,tal
De,Spn,no,ADP,B,De
Narváez,Spn,no,PROPN,I,Narváez
Sociedad,Spn,no,PROPN,I,Sociedad
Anónima,Spn,no,PROPN,I,Anónima
le,Spn,no,PRON,O,le
ganó,Spn,no,VERB,O,ganar
por,Spn,no,ADP,O,por
3,NUM,no,NUM,O,3
puntitos,Spn,no,NOUN,O,puntito
a,Spn,no,ADP,O,a
la,Spn,no,DET,O,lo
lista,Spn,no,NOUN,O,listo
encabezada,Spn,no,ADJ,O,encabezar
por,Spn,no,ADP,O,por
el,Spn,no,DET,O,el
