Token,Language_x,POS,NE,Lemma,Anglicism_x,Language_y,Anglicism_y,Exist
C5N,PROPN,PROPN,B,C5N,No,,,left_only
S,PROPN,PROPN,I,S,No,,,left_only
S,PROPN,PROPN,I,S,No,,,left_only
S,PROPN,PROPN,I,S,No,,,left_only
P,PROPN,PROPN,I,P,No,,,left_only
Sr,PROPN,PROPN,B,Sr,No,,,left_only
W,PROPN,PROPN,I,W,No,,,left_only
C5N.,,,,,,X,no,right_only
S.,,,,,,X,no,right_only
S.,,,,,,X,no,right_only
S.,,,,,,X,no,right_only
A.,,,,,,X,no,right_only
A.,,,,,,X,no,right_only
A.,,,,,,X,no,right_only
P.,,,,,,Spn,no,right_only
Sr.,,,,,,Spn,no,right_only
):,,,,,,PUNCT,no,right_only
W.,,,,,,Eng-NE,no,right_only
