Token,POS,NE,Lemma,Language,Candidate,Anglicism_x,Anglicism_y,Adapted,Exist
ARTICLE0003,PROPN,O,ARTICLE0003,PROPN,False,False,FALSE,,both
",",PUNCT,O,",",PUNCT,False,False,FALSE,,both
",",PUNCT,I,",",PUNCT,False,False,FALSE,,both
"""",PUNCT,O,"""",PUNCT,False,False,FALSE,,both
Qué,PRON,B,Qué,PRON,False,False,FALSE,,both
Qué,DET,I,Qué,DET,False,False,FALSE,,both
Qué,PRON,I,Qué,PRON,False,False,FALSE,,both
es,AUX,O,ser,AUX,False,False,FALSE,,both
es,NOUN,O,ser,Stop Word,False,False,FALSE,,both
es,AUX,I,ser,AUX,False,False,FALSE,,both
el,DET,O,el,DET,False,False,FALSE,,both
el,DET,I,el,DET,False,False,FALSE,,both
el,DET,B,el,DET,False,False,FALSE,,both
sharenting,NOUN,O,sharenting,,True,,TRUE,False,both
y,CONJ,O,y,CONJ,False,False,FALSE,,both
y,CONJ,I,y,CONJ,False,False,FALSE,,both
por,ADP,O,por,ADP,False,False,FALSE,,both
qué,PRON,O,qué,PRON,False,False,FALSE,,both
qué,DET,I,qué,DET,False,False,FALSE,,both
qué,DET,O,qué,DET,False,False,FALSE,,both
qué,PRON,I,qué,PRON,False,False,FALSE,,both
un,DET,O,uno,DET,False,False,FALSE,,both
un,DET,I,uno,DET,False,False,FALSE,,both
un,NUM,O,uno,NUM,False,False,FALSE,,both
problema,NOUN,O,problema,,True,,FALSE,,both
problema,NOUN,I,problema,Name Entity,False,False,FALSE,,both
moderno,ADJ,O,moderno,,True,,FALSE,,both
de,ADP,O,de,ADP,False,False,FALSE,,both
de,ADP,I,de,ADP,False,False,FALSE,,both
la,DET,O,lo,DET,False,False,FALSE,,both
la,DET,I,lo,DET,False,False,FALSE,,both
la,DET,B,lo,DET,False,False,FALSE,,both
la,PRON,O,lo,PRON,False,False,FALSE,,both
paternidad,NOUN,O,paternidad,,True,,FALSE,,both
¿,PUNCT,B,¿,PUNCT,False,False,FALSE,,both
¿,PUNCT,O,¿,PUNCT,False,False,FALSE,,both
Cuánto,NUM,I,Cuánto,NUM,False,False,FALSE,,both
compartes,NOUN,O,compartir,,True,,FALSE,,both
en,ADP,O,en,ADP,False,False,FALSE,,both
en,ADP,I,en,ADP,False,False,FALSE,,both
en,ADP,B,en,ADP,False,False,FALSE,,both
internet,NOUN,O,internet,,True,,FALSE,,both
internet,NOUN,O,internet,,True,,TRUE,True,both
internet,NOUN,O,internet,,True,,TRUE,False,both
sobre,ADP,O,sobrar,ADP,False,False,FALSE,,both
sobre,ADP,I,sobrar,ADP,False,False,FALSE,,both
vida,NOUN,O,vida,,True,,FALSE,,both
vida,NOUN,I,vida,Name Entity,False,False,FALSE,,both
tus,NUM,O,tu,NUM,False,False,FALSE,,both
tus,DET,O,tu,DET,False,False,FALSE,,both
hijos,NOUN,O,hijo,,True,,FALSE,,both
?,PUNCT,O,?,PUNCT,False,False,FALSE,,both
?,PUNCT,I,?,PUNCT,False,False,FALSE,,both
Y,CONJ,I,Y,CONJ,False,False,FALSE,,both
Y,CONJ,O,Y,CONJ,False,False,FALSE,,both
Y,CONJ,B,Y,CONJ,False,False,FALSE,,both
hasta,ADP,O,hasta,ADP,False,False,FALSE,,both
hasta,ADV,O,hasta,ADV,False,False,FALSE,,both
hasta,ADP,I,hasta,ADP,False,False,FALSE,,both
punto,NOUN,O,punto,,True,,FALSE,,both
punto,NOUN,I,punto,Name Entity,False,False,FALSE,,both
quieres,NOUN,O,querer,,True,,FALSE,,both
ver,VERB,O,ver,Stop Word,False,False,FALSE,,both
ver,AUX,I,ver,AUX,False,False,FALSE,,both
ver,NOUN,O,ver,Stop Word,False,False,FALSE,,both
información,NOUN,O,información,,True,,FALSE,,both
información,NOUN,I,información,Name Entity,False,False,FALSE,,both
los,DET,O,lo,DET,False,False,FALSE,,both
