Token,Language,POS,NE,Lemma,Anglicism
sharenting,,NOUN,O,sharenting,
problema,,NOUN,O,problema,
moderno,,ADJ,O,moderno,
paternidad,,NOUN,O,paternidad,
compartes,,NOUN,O,compartir,
internet,,NOUN,O,internet,
vida,,NOUN,O,vida,
hijos,,NOUN,O,hijo,
punto,,NOUN,O,punto,
quieres,,VERB,O,querer,
información,,NOUN,O,información,
vida,,NOUN,O,vida,
hijos,,NOUN,O,hijo,
redes,,NOUN,O,redar,
sociales,,ADJ,O,social,
anglicismo,,NOUN,O,anglicismo,
proviene,,VERB,O,provenir,
share,,NOUN,O,share,
compartir,,VERB,O,compartir,
parenting,,NOUN,O,parenting,
paternidad,,NOUN,O,paternidad,
consiste,,VERB,O,consistir,
documentar,,VERB,O,documentar,
primeras,,ADJ,O,primero,
sonrisas,,NOUN,O,sonrisa,
palabras,,NOUN,O,palabra,
pasos,,NOUN,O,paso,
anécdotas,,NOUN,O,anécdota,
pequeños,,ADJ,O,pequeño,
redes,,NOUN,O,redar,
sociales,,ADJ,O,social,
convertido,,VERB,O,convertir,
práctica,,NOUN,O,práctico,
habitual,,ADJ,O,habitual,
diccionario,,NOUN,O,diccionario,
británico,,ADJ,O,británico,
incluyó,,VERB,O,incluir,
páginas,,NOUN,O,página,
2016,,NOUN,O,2016,
fenómeno,,NOUN,O,fenómeno,
crecer,,VERB,O,crecer,
existido,,VERB,O,existir,
generación,,NOUN,O,generación,
niños,,NOUN,O,niño,
infancia,,NOUN,O,infancia,
pública,,ADJ,O,público,
probable,,ADJ,O,probable,
crezcan,,VERB,O,crecer,
punto,,NOUN,O,punto,
dañino,,ADJ,O,dañino,
sharenting,,NOUN,O,sharenting,
categorías,,NOUN,O,categoría,
decirse,,VERB,O,decirse,
categorías,,NOUN,O,categoría,
padres,,NOUN,O,padre,
redes,,NOUN,O,redar,
sociales,,ADJ,O,social,
orgullosos,,ADJ,O,orgulloso,
irritados,,ADJ,O,irritar,
encantaría,,VERB,O,encantar,
contactos,,NOUN,O,contacto,
supieran,,VERB,O,saber,
hijos,,NOUN,O,hijo,
encargan,,VERB,O,encargar,
publicando,,VERB,O,publicar,
foto,,NOUN,O,foto,
anécdota,,VERB,O,anécdota,
red,,NOUN,O,red,
social,,ADJ,O,social,
encanta,,VERB,O,encantar,
publicar,,VERB,O,publicar,
fotos,,NOUN,O,foto,
pequeño,,ADJ,O,pequeño,
encanta,,VERB,O,encantar,
amigos,,NOUN,O,amigo,
familiares,,NOUN,O,familiar,
comenten,,VERB,O,comentar,
hagan,,VERB,O,hacer,
clic,,NOUN,O,clic,
comentando,,VERB,O,comentar,
like,,VERB,O,like,
fotos,,NOUN,O,foto,
hijos,,NOUN,O,hijo,
amigos,,NOUN,O,amigo,
familiares,,NOUN,O,familiar,
increíble,,ADJ,O,increíble,
sentirme,,VERB,O,sentirme,
vidas,,NOUN,O,vida,
kilómetros,,NOUN,O,kilómetro,
distancia,,NOUN,O,distanciar,
opinión,,NOUN,O,opinión,
fotos,,NOUN,O,foto,
indecentes,,ADJ,O,indecente,
justificar,,VERB,O,justificar,
presencia,,NOUN,O,presenciar,
niño,,NOUN,O,niño,
pregunta,,VERB,O,preguntar,
crece,,VERB,O,crecer,
problema,,NOUN,O,problema,
agrega,,VERB,O,agregar,
publicar,,VERB,O,publicar,
foto,,NOUN,O,foto,
permiso,,NOUN,O,permiso,
menor,,ADJ,O,menor,
indecente,,ADJ,O,indecente,
privacidad,,NOUN,O,privacidad,
orgullosos,,ADJ,O,orgulloso,
hijos,,NOUN,O,hijo,
cautelosos,,ADJ,O,cauteloso,
hora,,NOUN,O,hora,
publicar,,VERB,O,publicar,
imágenes,,NOUN,O,imagen,
aparecen,,VERB,O,aparecer,
menores,,ADJ,O,menor,
